Type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_time,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,7122,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155639616,0,83,0,5,0,"[0,0,-22,3,-22]"
CSI_DATA,7123,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155648079,0,83,0,5,0,"[0,0,9,18,10]"
CSI_DATA,7124,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155652426,0,83,0,5,0,"[0,0,14,-16,13]"
CSI_DATA,7125,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155698603,0,83,0,5,0,"[0,0,-21,-7,-22]"
CSI_DATA,7126,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155718652,0,83,0,5,0,"[0,0,-2,-22,-4]"
CSI_DATA,7127,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155734738,0,83,0,5,0,"[0,0,22,0,22]"
CSI_DATA,7128,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155749705,0,83,0,5,0,"[0,0,13,12,14]"
CSI_DATA,7129,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155753573,0,83,0,5,0,"[0,0,-9,20,-7]"
CSI_DATA,7130,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155757383,0,83,0,5,0,"[0,0,17,12,17]"
CSI_DATA,7131,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156029910,0,83,0,5,0,"[0,0,7,20,8]"
CSI_DATA,7132,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156076945,0,83,0,5,0,"[0,0,1,-18,0]"
CSI_DATA,7133,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156103763,0,83,0,5,0,"[0,0,-18,-13,-19]"
CSI_DATA,7134,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156153456,0,83,0,5,0,"[0,0,-16,10,-16]"
CSI_DATA,7135,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156157249,0,83,0,5,0,"[0,0,17,13,17]"
CSI_DATA,7136,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156166230,0,83,0,5,0,"[0,0,-11,-16,-12]"
CSI_DATA,7137,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156206111,0,83,0,5,0,"[0,0,1,-22,0]"
CSI_DATA,7138,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156212842,0,83,0,5,0,"[0,0,16,-14,15]"
CSI_DATA,7139,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156217928,0,83,0,5,0,"[0,0,18,1,18]"
CSI_DATA,7140,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156222906,0,83,0,5,0,"[0,0,-12,18,-11]"
CSI_DATA,7141,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156226725,0,83,0,5,0,"[0,0,6,20,7]"
CSI_DATA,7142,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156230377,0,83,0,5,0,"[0,0,12,-16,11]"
CSI_DATA,7143,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156234485,0,83,0,5,0,"[0,0,9,-17,8]"
CSI_DATA,7144,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156246414,0,83,0,5,0,"[0,0,16,-14,15]"
CSI_DATA,7145,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156250889,0,83,0,5,0,"[0,0,-18,-4,-19]"
CSI_DATA,7146,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156256098,0,83,0,5,0,"[0,0,-17,-5,-18]"
CSI_DATA,7147,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,156300403,0,83,0,5,0,"[0,0,15,-15,15]"
